Date,ORCL,AMZN,INTC,MSFT,AMD,NVDA,META,GOOG,AVGO,AAPL
2013-02-14,34.900002,13.462000,21.230000,28.040001,2.750000,3.182500,28.500000,19.621952,35.639999,16.663929
2013-02-15,34.810001,13.254500,21.120001,28.010000,2.710000,3.182500,28.320000,19.748228,35.139999,16.434286
2013-02-19,35.400002,13.487500,21.090000,28.049999,2.820000,3.140000,28.930000,20.095926,35.540001,16.428213
2013-02-20,35.009998,13.320500,20.730000,27.870001,2.700000,3.095000,28.459999,19.737518,34.669998,16.030357
2013-02-21,34.279999,13.297000,20.250000,27.490000,2.600000,3.072500,27.280001,19.813982,33.669998,15.930714
2013-02-22,34.750000,13.271000,20.420000,27.760000,2.610000,3.130000,27.129999,19.918093,34.090000,16.100357
2013-02-25,34.279999,12.993500,20.230000,27.370001,2.530000,3.075000,27.270000,19.695427,32.950001,15.814286
2013-02-26,34.320000,12.968000,20.580000,27.370001,2.460000,3.092500,27.389999,19.679485,33.130001,16.034643
2013-02-27,34.680000,13.162500,20.930000,27.809999,2.530000,3.150000,26.870001,19.919836,33.689999,15.877500
2013-02-28,34.240002,13.213500,20.879999,27.799999,2.490000,3.165000,27.250000,19.955202,34.220001,15.764286
2013-03-01,34.630001,13.287000,21.030001,27.950001,2.420000,3.177500,27.780001,20.079487,33.700001,15.373929
2013-03-04,35.049999,13.655500,21.270000,28.150000,2.400000,3.165000,27.719999,20.460808,33.540001,15.001786
2013-03-05,35.459999,13.779500,21.510000,28.350000,2.430000,3.200000,27.520000,20.886711,34.330002,15.397857
2013-03-06,35.860001,13.689500,21.750000,28.090000,2.430000,3.197500,27.450001,20.706886,34.709999,15.202143
2013-03-07,35.939999,13.694000,21.889999,28.139999,2.550000,3.190000,28.580000,20.737272,34.970001,15.377857
2013-03-08,35.709999,13.709500,21.580000,28.000000,2.560000,3.205000,27.959999,20.710373,35.270000,15.418571
2013-03-11,35.880001,13.562000,21.690001,27.870001,2.590000,3.175000,28.139999,20.792564,35.259998,15.638214
2013-03-12,35.430000,13.706500,21.639999,27.910000,2.610000,3.185000,27.830000,20.612988,35.450001,15.301071
2013-03-13,35.580002,13.755000,21.660000,27.920000,2.600000,3.185000,27.080000,20.555702,35.990002,15.298214
2013-03-14,36.299999,13.287000,21.650000,28.139999,2.630000,3.187500,27.040001,20.461803,36.660000,15.446429
2013-03-15,36.340000,13.091000,21.379999,28.040001,2.600000,3.160000,26.650000,20.281481,36.000000,15.845000
2013-03-18,36.040001,12.894500,21.260000,28.100000,2.650000,3.137500,26.490000,20.119337,35.259998,16.275715
2013-03-19,35.689999,12.820500,21.139999,28.180000,2.670000,3.117500,26.549999,20.207258,35.299999,16.231787
2013-03-20,35.770000,12.864000,21.180000,28.320000,2.750000,3.155000,25.860001,20.291693,35.930000,16.145714
2013-03-21,32.299999,12.669500,21.040001,28.110001,2.640000,3.105000,25.740000,20.205765,35.560001,16.168928
2013-03-22,31.980000,12.887500,21.330000,28.250000,2.540000,3.120000,25.730000,20.182102,35.799999,16.496786
2013-03-25,31.250000,12.801000,21.150000,28.160000,2.510000,3.102500,25.129999,20.165415,35.520000,16.556429
2013-03-26,31.540001,13.015500,21.770000,28.160000,2.540000,3.125000,25.209999,20.234655,35.790001,16.469286
2013-03-27,31.950001,13.265000,21.830000,28.370001,2.550000,3.162500,26.090000,19.991568,35.639999,16.145714
2013-03-28,32.330002,13.324500,21.840000,28.610001,2.550000,3.207500,25.580000,19.780607,35.919998,15.809286
2013-04-01,32.410000,13.080500,21.430000,28.610001,2.440000,3.102500,25.530001,19.954954,35.340000,15.318214
2013-04-02,32.740002,13.166000,21.459999,28.799999,2.390000,3.070000,25.420000,20.250097,34.880001,15.349643
2013-04-03,32.400002,12.951500,21.049999,28.559999,2.320000,3.032500,26.250000,20.079737,34.310001,15.428214
2013-04-04,32.369999,12.954000,21.139999,28.600000,2.330000,3.062500,27.070000,19.802525,34.599998,15.275714
2013-04-05,32.029999,12.774000,20.940001,28.700001,2.290000,3.115000,27.389999,19.503147,34.330002,15.114286
2013-04-08,32.360001,12.947500,21.090000,28.590000,2.590000,3.107500,26.850000,19.298912,34.660000,15.221786
2013-04-09,33.040001,13.057000,21.750000,29.610001,2.630000,3.157500,26.590000,19.368652,34.779999,15.249286
2013-04-10,33.730000,13.238500,22.260000,30.280001,2.610000,3.207500,27.570000,19.680733,35.380001,15.560357
2013-04-11,33.619999,13.492500,21.830000,28.940001,2.520000,3.192500,28.020000,19.685963,35.630001,15.511786
2013-04-12,33.459999,13.643500,21.680000,28.790001,2.480000,3.272500,27.400000,19.677494,34.910000,15.350000
2013-04-15,32.799999,13.386000,21.379999,28.690001,2.400000,3.205000,26.520000,19.475252,33.779999,14.994643
2013-04-16,33.419998,13.617000,21.920000,28.969999,2.440000,3.240000,26.920000,19.760183,34.580002,15.222857
2013-04-17,32.490002,13.370000,21.930000,28.830000,2.400000,3.197500,26.629999,19.490944,32.400002,14.385714
2013-04-18,32.119999,12.971000,22.240000,28.790001,2.510000,3.135000,25.690001,19.076248,31.370001,14.001786
2013-04-19,32.369999,13.016000,22.440001,29.770000,2.470000,3.142500,25.730000,19.922077,31.260000,13.947500
2013-04-22,32.520000,13.177500,22.879999,30.830000,2.460000,3.147500,25.969999,19.928055,31.580000,14.238214
2013-04-23,32.459999,13.445000,23.379999,30.600000,2.530000,3.230000,25.980000,20.122078,32.369999,14.504643
2013-04-24,32.509998,13.439000,23.660000,31.760000,2.610000,3.340000,26.110001,20.260309,32.619999,14.480714
2013-04-25,32.270000,13.735000,23.379999,31.940001,2.680000,3.367500,26.139999,20.151964,32.630001,14.585000
2013-04-26,32.360001,12.740500,23.400000,31.790001,2.640000,3.352500,26.850000,19.960682,32.110001,14.900000
2013-04-29,32.240002,12.487000,23.760000,32.610001,2.680000,3.392500,26.980000,20.400036,32.529999,15.361429
2013-04-30,32.779999,12.690500,23.950001,33.099998,2.820000,3.442500,27.770000,20.537271,31.959999,15.813571
2013-05-01,33.160000,12.411500,23.990000,32.720001,3.220000,3.412500,27.430000,20.434158,31.320000,15.688929
2013-05-02,33.689999,12.627500,24.110001,33.160000,3.410000,3.452500,28.969999,20.662802,32.090000,15.911429
2013-05-03,33.380001,12.902500,23.959999,33.490002,3.600000,3.467500,28.309999,21.064047,31.879999,16.070715
2013-05-06,33.509998,12.786000,23.910000,33.750000,3.610000,3.457500,27.570000,21.458319,32.799999,16.453930
